the_geom,longitude,latitude,cartodb_id,id,name,distance_to_yishun_west,distance_to_yishun_east,distance_to_punggol,column_1531919386209
0101000020E6100000EE77280AF4F659402E7590D783C9F43F,103.858645,1.299198,38,1511,Opp The Gateway,14590.95883,14059.16454,14157.7884,
0101000020E6100000450DA661F8F65940B7D100DE02C9F43F,103.85891,1.299075,39,1519,The Gateway,14607.09133,14073.96552,14159.15647,
0101000020E610000054FCDF1115F7594005C24EB16AD0F43F,103.860661,1.300883,40,1521,Opp Plaza Parkroyal,14426.77467,13883.91603,13900.67831,
0101000020E6100000CDC8207711F759405299620E82CEF43F,103.860441,1.300417,41,1529,Plaza Parkroyal,14475.53122,13933.99896,13957.61716,
0101000020E6100000D0D6C1C1DEF6594063B48EAA26C8F43F,103.857346,1.298865,42,1541,Aft Beach Rd,14615.85523,14090.92059,14247.4423,
0101000020E6100000EE43DE72F5F65940D9092FC1A9CFF43F,103.858731,1.300699,43,1549,Near Bali Lane,14426.45959,13893.71781,14000.8058,
0101000020E6100000C89750C1E1F65940BB0D6ABFB5D3F43F,103.857529,1.301687,44,1559,Landmark Village Hotel,14306.35907,13779.65308,13952.42769,
0101000020E6100000D4D4B2B5BEF65940DE3B6A4C88B9F43F,103.85539,1.295296,45,1611,Raffles Hotel,14994.69682,14480.73605,14695.75399,
0101000020E610000095B54DF1B8F659400D350A4966B5F43F,103.855038,1.294287,46,1619,Opp Raffles Hotel,15103.77718,14591.80842,14813.75371,
0101000020E610000053CC41D0D1F65940BB0B941458C0F43F,103.856556,1.296959,47,1621,Opp Shaw Twrs,14819.61852,14299.28091,14475.79931,
0101000020E610000092054CE0D6F65940C685032159C0F43F,103.856865,1.29696,48,1629,Shaw Twrs,14821.94256,14300.00711,14462.35824,
0101000020E61000001E6E8786C5F65940B61490F63FC0F43F,103.855806,1.296936,49,1631,Aft Beach Rd,14816.5783,14300.13664,14510.80156,
0101000020E610000085CFD6C1C1F65940C99063EB19C2F43F,103.855576,1.297388,50,1639,Bef Beach Rd,14765.0793,14249.74312,14475.00073,
0101000020E610000002124DA088F65940E99AC937DB9CF43F,103.852089,1.288295,51,2011,Victoria Concert Hall,15750.74777,15254.38298,15551.9759,
0101000020E61000009510ACAA97F65940D9EC48F59D9FF43F,103.853007,1.288969,52,2029,Opp S'pore Cricket Club,15680.08159,15179.08402,15443.36196,
0101000020E6100000E57D1CCD91F6594066118AADA0A9F43F,103.852649,1.291413,53,2031,St. Andrew's Cath,15408.46817,14909.06641,15210.73533,
0101000020E61000000F99F221A8F6594094A5D6FB8DB6F43F,103.854012,1.294569,54,2049,Raffles Hotel,15066.53948,14559.807,14830.21874,
0101000020E6100000BB09BE69FAF659409180D1E5CDA1F43F,103.859034,1.289503,55,2051,Seating Gallery,15662.77982,15132.06139,15139.00703,
0101000020E6100000780AB952CFF659400B47904AB1A3F43F,103.856404,1.289964,56,2061,The Esplanade,15590.19455,15072.19391,15197.63859,
0101000020E6100000BAA1293BFDF65940776A2E3718AAF43F,103.859206,1.291527,57,2089,Pan Pacific Hotel,15441.40214,14909.23147,14923.022,
0101000020E6100000CE39782634F75940D047197101A8F43F,103.862558,1.291017,58,2099,Marina Ctr Ter,15533.97364,14985.8063,14846.90562,
0101000020E61000001A868F8829F75940533F6F2A52A1F43F,103.86191,1.289385,59,2101,Bef Temasek Ave,15705.72243,15161.2899,15041.09113,
0101000020E61000007CD45FAFB0F659401A33897AC1A7F43F,103.854534,1.290956,60,2111,Esplanade Bridge,15468.4871,14959.60959,15174.92704,
0101000020E610000034F790F0BDF659408B8A389D64ABF43F,103.855343,1.291844,61,2119,One Raffles Link,15375.42077,14862.33477,15049.67019,
0101000020E6100000718DCF64FFF65940BE4C142175BBF43F,103.859338,1.295766,62,2141,Suntec Twr Two,14975.77205,14441.5749,14480.83426,
0101000020E61000004087F9F202F75940978BF84ECCBAF43F,103.859555,1.295605,63,2149,Suntec Twr Three,14995.68324,14460.44959,14488.54852,
0101000020E610000048C0E8F2E6F65940CB811E6ADBB0F43F,103.857846,1.293178,64,2151,Suntec Convention Ctr,15247.11112,14721.18174,14808.07493,
0101000020E6100000685E0EBBEFF659405C548B8862B2F43F,103.858382,1.293551,65,2159,Opp Suntec Convention Ctr,15210.71749,14682.00716,14747.72023,
0101000020E6100000ED9A90D618F75940D6AC33BE2FAEF43F,103.860891,1.292526,66,2161,Opp Millenia Twr,15348.71579,14807.97845,14753.44366,
0101000020E6100000E4A25A4414F7594052F2EA1C03B2F43F,103.860612,1.29346,67,2169,Centennial Twr,15242.89331,14703.17412,14667.63337,
0101000020E61000000B9A965819F75940BB270F0BB5A6F43F,103.860922,1.2907,68,2171,Opp The Ritz-Carlton,15549.98942,15009.77485,14941.64477,
0101000020E610000005DF347D76F6594047AD307DAFA1F43F,103.850982,1.289474,69,2181,Supreme Ct,15616.72292,15125.87997,15481.56052,
0101000020E6100000F71F990E9DF659401FD95C35CF91F43F,103.853336,1.285598,70,3011,Fullerton Sq,16054.02344,15551.72046,15773.31011,
0101000020E61000002FFD4B5299F6594007D3307C448CF43F,103.853108,1.284245,71,3019,OUE Bayfront,16202.46562,15701.39308,15921.38594,
0101000020E61000006C3D433866F65940F62345645885F43F,103.849989,1.282555,72,3021,Prudential Twr,16379.13233,15893.21166,16227.45772,
0101000020E6100000471CB28174F65940A54E40136183F43F,103.850861,1.282075,73,3031,Opp AIA Twr,16434.26422,15944.13119,16238.62207,
0101000020E6100000C921E2E654F6594035D252793B82F43F,103.848932,1.281795,74,3041,Opp PWC Bldg,16461.42349,15980.60031,16351.05139,
0101000020E61000001F0E12A27CF65940D45FAFB0E07EF43F,103.851357,1.280976,75,3059,One Raffles Quay,16557.17012,16064.68475,16329.74195,
0101000020E61000001878EE3D5CF65940F96A47718E7AF43F,103.84938,1.279921,76,3071,Opp The Ogilvy Ctr,16669.25147,16186.19235,16522.05363,
0101000020E61000001DAD6A4947F65940EBA7FFACF971F43F,103.848101,1.277826,77,3111,Aft Capital Twr,16899.51722,16422.42377,16790.88654,
0101000020E6100000B130444E5FF65940C2FA3F87F972F43F,103.849567,1.27807,78,3129,UIC Bldg,16874.20632,16390.20109,16702.7963,
0101000020E6100000A9328CBB41F659408EAED2DD7576F43F,103.847762,1.278921,79,3151,Opp GB Bldg,16778.27728,16302.88434,16694.4278,
0101000020E61000009A94826E2FF65940C8073D9B555FF43F,103.846645,1.273275,80,3211,Bef Shenton Way,17402.64291,16931.92879,17317.45886,
0101000020E61000005B61FA5E43F65940A2D3F36E2C68F43F,103.847862,1.275433,81,3217,Opp Temasek Twr,17163.99855,16687.84331,17044.98346,
0101000020E61000004B75012F33F659407E5358A9A062F43F,103.846874,1.274079,82,3218,Opp MAS Bldg,17313.65574,16841.97041,17225.64565,
0101000020E61000002A58E36C3AF6594001F6D1A92B5FF43F,103.847316,1.273235,83,3219,Aft Shenton Way,17406.92145,16933.10661,17292.64525,
0101000020E61000005C21ACC612F65940022D5DC13662F43F,103.844896,1.273978,84,3222,Hub Synergy Pt,17326.80046,16864.31513,17322.78208,
0101000020E6100000613255302AF65940A08B868C4769F43F,103.846325,1.275703,85,3223,Intl Plaza,17134.35409,16665.42529,17084.49962,
0101000020E6100000D5928E7230F659407097FDBAD35DF43F,103.846707,1.272907,86,3239,Shenton Way Ter,17443.30739,16972.26555,17352.28092,
0101000020E61000005F5CAAD216F75940EEE87FB9166DF43F,103.860768,1.276633,87,3331,Bef Marina Gdns Dr,17097.17926,16562.30732,16416.14391,
0101000020E61000005EBA490C02F75940BC3FDEAB5666F43F,103.8595,1.274985,88,3339,Aft Marina Gdns Dr,17267.02662,16738.18019,16633.67314,
0101000020E61000002AAC545051F75940A06EA0C03B79F43F,103.864338,1.279598,89,3341,Bef Gdns by the Bay,16810.82539,16259.25126,15982.3565,
0101000020E61000003813D38558F759403315E2917879F43F,103.864778,1.279656,90,3349,Aft Gdns by the Bay,16810.05419,16256.53441,15961.70242,
0101000020E61000000169FF03ACF759401233FB3C4679F43F,103.869874,1.279608,91,3369,Marina Barrage,16890.38796,16315.07415,15808.59731,
0101000020E610000061E0B9F770F75940041C42959A7DF43F,103.86627,1.280665,92,3371,Gdns by the Bay,16719.4125,16158.95455,15806.56444,
0101000020E610000035D4282499F6594064EAAEEC8281F43F,103.853097,1.281619,93,3381,The Sail,16492.55866,15991.76507,16191.07471,
0101000020E6100000FBAE08FEB7F659403ACFD8976C7CF43F,103.85498,1.280377,94,3391,Marina Bay Financial Ctr,16639.2588,16129.75538,16242.59125,
0101000020E6100000D6C9198A3BF759401329CDE67158F43F,103.863009,1.271593,95,3411,Opp Marina Sth Pier,17675.34282,17132.43484,16871.8072,
0101000020E6100000D00CE2033BF759400A83328D2657F43F,103.862977,1.271277,96,3419,Marina Sth Pier,17709.76154,17167.09386,16906.27363,
0101000020E610000099840B7904F7594074620FED6345F43F,103.859648,1.266941,97,3421,Marina Bay Cruise Ctr,18155.10509,17627.61335,17474.05172,
0101000020E6100000FCE4284014F75940C8242367618FF43F,103.860611,1.285005,98,3501,Marina Bay Sands Theatre,16173.61207,15636.83427,15545.88495,
0101000020E6100000BF47FDF50AF7594064CC5D4BC887F43F,103.860044,1.28315,99,3509,Marina Bay Sands Hotel,16372.2808,15838.70767,15760.30925,
0101000020E6100000984D8061F9F6594001C3F2E7DB82F43F,103.858971,1.281948,100,3511,Marina Bay Sands MICE,16494.849,15966.5533,15925.51607,
0101000020E61000000A0F9A5DF7F65940C79DD2C1FA7FF43F,103.858848,1.281245,101,3519,Opp Marina Bay Sands MICE,16571.27341,16043.7272,16003.32711,
0101000020E6100000F69A1E1494F65940D50968226C78F43F,103.852788,1.2794,102,3529,Downtown Stn,16736.44402,16237.28043,16431.76418,
0101000020E6100000CC7B9C69C2F65940E8F86871C670F43F,103.855616,1.277533,103,3539,Marina Bay Stn,16957.04796,16445.03689,16511.9641,
0101000020E61000002CBCCB457CF659405A68E7340BB4F43F,103.851335,1.293956,104,4111,Capitol Bldg,15122.42479,14629.65261,15013.18125,
0101000020E6100000ED48F59D5FF65940BBECD79DEEBCF43F,103.849586,1.296126,105,4121,SMU,14877.96026,14394.44208,14877.8185,
0101000020E61000000A2E56D460F659403E5E488787B0F43F,103.84966,1.293098,106,4142,Armenian Ch,15212.87327,14728.85989,15177.23181,
0101000020E61000003B376DC669F6594075AF93FAB2B4F43F,103.850206,1.294116,107,4143,Stamford Ct,15101.5119,14614.65533,15049.54407,
0101000020E6100000917BBABA63F6594046B5882826AFF43F,103.849837,1.292761,108,4149,Grand Pk City Hall,15250.48577,14765.53785,15202.75813,
0101000020E61000005114E81379F65940BC41B456B4B9F43F,103.85114,1.295338,109,4151,Cath Of The Good Shepherd,14969.041,14477.25223,14883.26434,
0101000020E6100000CE4F711C78F659400E10CCD1E3B7F43F,103.851081,1.294895,110,4159,Aft Chijmes,15017.81935,14526.35269,14930.5041,
0101000020E61000003145B9347EF65940AE47E17A14AEF43F,103.851453,1.2925,111,4167,St. Andrew's Cath,15283.74402,14790.40988,15154.5276,
0101000020E61000002619390B7BF659401D01DC2C5EACF43F,103.85126,1.292082,112,4168,Opp Peninsula Plaza,15329.30789,14836.98311,15205.49018,
0101000020E6100000AD32535A7FF659406A4E5E6402BEF43F,103.851523,1.296389,113,4179,NTUC Income Ctr,14854.16789,14360.31472,14759.8844,
0101000020E6100000AAF1D24D62F659404F5DF92CCFC3F43F,103.84975,1.297805,114,4189,Manulife Ctr,14692.6627,14208.31698,14702.52921,
0101000020E610000007EA944737F65940014C1938A0A5F43F,103.847124,1.290436,115,4211,Clarke Quay,15504.93348,15033.9342,15563.67605,
0101000020E6100000DA01D71533F65940A2EBC20FCEA7F43F,103.846868,1.290968,116,4219,Opp Clarke Quay,15446.16662,14976.57071,15522.85346,
0101000020E610000031B1F9B836F65940C8EF6DFAB39FF43F,103.84709,1.28899,117,4222,Clarke Quay Stn,15664.82932,15193.82394,15709.85378,
0101000020E6100000A2444B1E4FF659402C4833164DA7F43F,103.848579,1.290845,118,4223,Old Hill St Police Stn,15460.37105,14981.86747,15453.855,
0101000020E6100000A0DCB6EF51F659408A0453CDACA5F43F,103.848751,1.290448,119,4229,High St Ctr,15504.45723,15025.03803,15485.62722,
0101000020E6100000996379573DF659408A3A730F099FF43F,103.847494,1.288827,120,4239,Clarke Quay Stn,15682.85588,15209.75751,15707.11278,
0101000020E610000005C24EB16AF65940BD6F7CED99A5F43F,103.850262,1.29043,121,4249,Opp The Treasury,15509.13066,15021.94833,15417.63255,
0101000020E61000002844C02154F6594001892650C4A2F43F,103.848885,1.289738,122,4251,Opp High St Ctr,15583.12451,15102.9724,15550.70031,
0101000020E610000016DA39CD02F65940FF5A5EB9DEB6F43F,103.843921,1.294646,123,4311,Aft River Valley Rd,15044.05665,14590.89759,15305.07983,
0101000020E61000007156444DF4F55940B1A71DFE9AACF43F,103.843036,1.29214,124,4321,Shell HSE,15323.79457,14874.70695,15596.49404,
0101000020E61000005D4F745DF8F559402F1686C8E9ABF43F,103.843284,1.291971,125,4329,Opp Shell HSE,15341.64741,14891.18596,15600.52167,
0101000020E6100000DDB1D82615F6594052280B5F5FABF43F,103.845041,1.291839,126,4331,Liang Ct,15351.81461,14891.97794,15525.49198,
0101000020E610000037FDD98F14F65940D8800871E5ACF43F,103.845005,1.292211,127,4339,Opp Liang Ct,15310.75203,14851.18527,15490.45723,
0101000020E61000007FA5F3E159F65940B03731242793F43F,103.849236,1.285926,128,5009,Opp OCBC Ctr,16005.09173,15522.97105,15918.94711,
0101000020E61000005ABDC3EDD0F55940261DE5603681F43F,103.840877,1.281546,129,5012,Pearl's Ctr,16503.33915,16062.11847,16751.19458,
0101000020E6100000E3E313B2F3F559404165FCFB8C8BF43F,103.842999,1.28407,130,5013,People's Pk Cplx,16215.85287,15764.72742,16396.87982,
0101000020E6100000401361C3D3F55940128942CBBA7FF43F,103.84105,1.281184,131,5019,Opp Pearl's Ctr,16542.51147,16100.31207,16778.69536,
0101000020E61000001F6ADB300AF6594024B891B24592F43F,103.844372,1.285711,132,5022,People's Pk Ctr,16030.66325,15572.98244,16167.10778,
0101000020E610000016FA60191BF659403D62F4DC4297F43F,103.845404,1.286929,133,5023,Opp Hong Lim Pk,15894.08498,15431.39596,15996.08707,
0101000020E610000086C77E164BF659405DFC6D4F9098F43F,103.848333,1.287247,134,5029,Boat Quay,15857.97707,15380.46366,15826.78441,
0101000020E6100000529E7939ECF55940F9BA0CFFE986F43F,103.842543,1.282938,135,5039,New Bridge Ctr,16342.52921,15893.39377,16531.66214,
0101000020E61000007633A31F0DF6594060066344A290F43F,103.844551,1.285311,136,5049,Chinatown Pt,16074.49505,15615.82166,16198.43068,
0101000020E6100000E3A59BC420F65940E9B81AD99596F43F,103.84575,1.286764,137,5059,Hong Lim Pk,15911.86881,15447.38802,15996.08039,
0101000020E61000003B394371C7F55940BDA8DDAF027CF43F,103.840298,1.280276,138,5069,Outram Pk Stn,16646.52375,16207.75916,16905.65259,
0101000020E610000055849B8C2AF659408237A4518193F43F,103.846347,1.286012,139,5129,Hong Lim Pk,15994.44566,15526.82046,16043.17325,
0101000020E61000002F8A1EF818F659407ADFF8DA338BF43F,103.845274,1.283985,140,5131,Opp Hong Lim Cplx,16219.78266,15757.21556,16296.76838,
0101000020E610000088BB7A1519F659405BEF37DA7183F43F,103.845281,1.282091,141,5189,Opp Sri Mariamman Tp,16429.18117,15966.24293,16486.5004,
0101000020E61000002FDE8FDB2FF6594010919A76318DF43F,103.846671,1.284471,142,5199,Opp Hong Lim Cplx,16164.64577,15695.18063,16182.80674,
0101000020E61000009D6516A1D8F559400A86730D3374F43F,103.841347,1.278369,143,5239,Bef The Pinnacle@Duxton,16852.18288,16407.6556,17044.78237,
0101000020E610000025EA059FE6F55940BF9B6ED9217EF43F,103.842201,1.280794,144,5241,Opp Blk 333,16580.7345,16132.71114,16761.83779,
0101000020E6100000C18C2958E3F559400A3197546D77F43F,103.842001,1.279157,145,5259,Aft Kreta Ayer Rd,16762.40708,16314.91296,16934.85537,
0101000020E61000005D8940F50FF659405C74B2D47A7FF43F,103.844724,1.281123,146,5269,Maxwell Rd FC,16537.15917,16076.7839,16609.64762,
0101000020E61000004D69FD2D01F6594082531F48DE79F43F,103.843822,1.279753,147,5271,Opp Fairfield Meth Ch,16690.63921,16234.39737,16789.25659,
0101000020E61000005C1D007157F6594038F6ECB94C8DF43F,103.849087,1.284497,148,5319,OCBC Ctr,16162.87426,15681.42693,16070.21949,
0101000020E61000003BE12538F5F55940EEEE01BA2F67F43F,103.843092,1.275192,149,5411,Tg Pagar Plaza,17196.85225,16743.10215,17281.66561,
0101000020E6100000645A9BC6F6F5594063B7CF2A3365F43F,103.843187,1.274707,150,5419,The Amara,17250.17876,16795.86914,17326.18846,
0101000020E6100000B5183C4CFBF55940A857CA32C471F43F,103.843463,1.277775,151,5421,Aft Craig Rd,16910.25596,16455.31708,17004.63621,
0101000020E6100000001AA54BFFF559400FBA84436F71F43F,103.843707,1.277694,152,5429,Bef Wallich St,16918.54917,16462.41725,17001.48472,
0101000020E610000016325706D5F559402A745E639768F43F,103.841127,1.275535,153,5519,Opp Maritime Hse,17166.27517,16721.97567,17338.6462,
0101000020E6100000DF516342CCF55940F9BEB854A56DF43F,103.840592,1.276769,154,5521,Maritime Hse,17032.4345,16591.08251,17240.64164,
0101000020E610000074232C2AE2F559408A22A46E675FF43F,103.841929,1.273292,155,5629,Opp Sth Pt,17410.8168,16962.09524,17526.46811,
0101000020E6100000AB92C83EC8F559400BB43BA41860F43F,103.840347,1.273461,156,5631,Blk 16,17399.06197,16957.84927,17583.16585,
0101000020E6100000CCCF0D4DD9F55940CC9717601F5DF43F,103.841388,1.272735,157,5641,Customs Port Br HQ,17474.52781,17028.19892,17607.4858,
0101000020E610000095BBCFF1D1F5594035423F53AF5BF43F,103.840939,1.272384,158,5649,Opp Customs Port Br HQ,17515.25527,17070.93401,17663.57875,
0101000020E61000000C772E8CF4F55940514CDE00335FF43F,103.843051,1.273242,159,5651,Opp Fuji Xerox Twrs,17412.51765,16958.51956,17480.17882,
0101000020E6100000C5E57805A2F55940367689EAAD81F43F,103.838014,1.28166,160,6011,Opp Outram Pk Stn,16507.58909,16080.76812,16882.66671,
0101000020E6100000B954A52DAEF5594030F31DFCC481F43F,103.838756,1.281682,161,6029,Outram Pk Stn,16500.20621,16069.66011,16843.0276,
0101000020E61000005F09A4C4AEF559402158552FBF93F43F,103.838792,1.286071,162,6031,Opp Blk 13,16015.48393,15586.56867,16409.69009,
0101000020E6100000C3B7B06EBCF559400FD6FF39CC97F43F,103.839626,1.28706,163,6039,Blk 8,15901.07331,15468.22988,16269.79636,
0101000020E6100000C5573B8A73F559406919A9F7548EF43F,103.835177,1.284749,164,6049,EtonHouse Pre-Sch,16189.91645,15779.10923,16728.19831,
0101000020E6100000FE7F9C3061F55940E6577380608EF43F,103.834057,1.28476,165,6051,Blk 55,16199.5536,15794.56949,16787.16675,
0101000020E6100000C7D9740470F55940481971016894F43F,103.834962,1.286232,166,6069,Aft Furama RiverFront,16028.53765,15619.68555,16595.98455,
0101000020E6100000857CD0B359F5594021037976F996F43F,103.8336,1.286859,167,6071,Blk 2B,15973.19915,15571.89515,16609.5145,
0101000020E6100000EB8F300C58F5594049D6E1E82A9DF43F,103.833499,1.288371,168,6081,Blk 94,15807.86623,15408.06491,16469.82763,
0101000020E61000003C9F01F566F55940603FC4060BA7F43F,103.834409,1.290782,169,6129,Grand Copthorne Hotel,15532.88165,15129.72262,16188.24847,
0101000020E610000031B43A3943F5594060764F1E16AAF43F,103.832228,1.291525,170,6131,The Boys' Brigade HQ,15475.47036,15084.724,16240.40805,
0101000020E6100000CAC0012D5DF55940577A6D3656A2F43F,103.833812,1.289633,171,6141,Holiday Inn Atrium,15665.61336,15264.94896,16331.49896,
0101000020E61000009886E12362F55940892991442FA3F43F,103.834115,1.28984,172,6149,Opp Holiday Inn Atrium,15639.63392,15237.46798,16294.83189,
0101000020E61000006B63EC8497F55940587380608E9EF43F,103.837373,1.28871,173,6151,Hotel Miramar,15734.47446,15314.22443,16226.66304,
0101000020E610000063EDEF6C8FF559406684B70721A0F43F,103.836879,1.289094,174,6159,River View Hotel,15696.07807,15278.65209,16215.83059,
0101000020E610000044E048A0C1F55940FBCE2F4AD09FF43F,103.839943,1.289017,175,6161,Blk 2,15683.11654,15249.39187,16061.7135,
0101000020E6100000FCFF3861C2F55940B492567C43A1F43F,103.839989,1.289371,176,6169,River Pl Condo,15643.75984,15209.93323,16024.69401,
0101000020E6100000292504ABEAF559406534F279C593F43F,103.842448,1.286077,177,6171,Opp Subordinate Ct,15995.97173,15548.20044,16224.49653,
0101000020E61000006FBA6587F8F55940865451BCCA9AF43F,103.843294,1.287791,178,6189,Ctrl Sq,15803.63012,15351.97563,16012.87309,
0101000020E610000015747B4963F65940151BF33AE2D0F43F,103.84981,1.300997,179,7011,Peace Ctr,14339.90033,13855.32128,14382.47213,
0101000020E61000004F3E3DB665F65940EECEDA6D17DAF43F,103.849958,1.303245,180,7021,Selegie Ctr,14091.71504,13606.36689,14152.71328,
0101000020E61000002D0ABB287AF65940E7340BB43BE4F43F,103.851206,1.305721,181,7031,Tekka Ctr,13821.68371,13329.22581,13845.71638,
0101000020E6100000F2B0506B9AF65940653733FAD1F0F43F,103.853175,1.308794,182,7111,Broadway Hotel,13490.93466,12986.88163,13443.74724,
